,Ironmongery Set,Mapped Ironmongery Set,Comparison Excel,Comparison Python,
437,9,9,TRUE,FALSE,
436,,9,FALSE,FALSE,
435,,21cDA,FALSE,FALSE,
433,,09a,FALSE,FALSE,
432,,11hDA,FALSE,FALSE,
430,9,9,TRUE,FALSE,
429,9,9,TRUE,FALSE,
428,9,9,TRUE,FALSE,
427,,9,FALSE,FALSE,
426,,9,FALSE,FALSE,
425,,06b,FALSE,FALSE,
424,42,42,TRUE,FALSE,
423,5,5,TRUE,FALSE,
421,48,48,TRUE,FALSE,
186,,09a,FALSE,FALSE,
182,,09a,FALSE,FALSE,
181,,11j,FALSE,FALSE,
168,1,1,TRUE,FALSE,
167,1,1,TRUE,FALSE,
166,1,1,TRUE,FALSE,
161,1,1,TRUE,FALSE,
159,1,1,TRUE,FALSE,
158,1,1,TRUE,FALSE,
156,1,1,TRUE,FALSE,
155,1,1,TRUE,FALSE,
154,1,1,TRUE,FALSE,
153,1,1,TRUE,FALSE,
152,1,1,TRUE,FALSE,
151,1,1,TRUE,FALSE,
150,1,1,TRUE,FALSE,
149,1,1,TRUE,FALSE,
148,1,1,TRUE,FALSE,
147,1,1,TRUE,FALSE,
146,1,1,TRUE,FALSE,
145,1,1,TRUE,FALSE,
144,3,3,TRUE,FALSE,
143,3,3,TRUE,FALSE,
141,1,1,TRUE,FALSE,
169,1,1,TRUE,FALSE,
140,1,1,TRUE,FALSE,
170,1,1,TRUE,FALSE,
172,1,1,TRUE,FALSE,
14,,09a,FALSE,FALSE,
13,,09a,FALSE,FALSE,
8,8,8,TRUE,FALSE,
6,,17,FALSE,FALSE,
5,,24a,FALSE,FALSE,
4,,12e,FALSE,FALSE,
3,,4,FALSE,FALSE,
1,,31,FALSE,FALSE,
0,,31,FALSE,FALSE,
184,1,1,TRUE,FALSE,
183,1,1,TRUE,FALSE,
182,1,1,TRUE,FALSE,
181,1,1,TRUE,FALSE,
180,1,1,TRUE,FALSE,
179,1,1,TRUE,FALSE,
178,1,1,TRUE,FALSE,
177,1,1,TRUE,FALSE,
176,1,1,TRUE,FALSE,
175,1,1,TRUE,FALSE,
174,1,1,TRUE,FALSE,
173,1,1,TRUE,FALSE,
171,1,1,TRUE,FALSE,
15,,09a,FALSE,FALSE,
139,1,1,TRUE,FALSE,
137,1,1,TRUE,FALSE,
87,1,1,TRUE,FALSE,
86,1,1,TRUE,FALSE,
85,1,1,TRUE,FALSE,
84,1,1,TRUE,FALSE,
83,1,1,TRUE,FALSE,
82,1,1,TRUE,FALSE,
81,1,1,TRUE,FALSE,
80,1,1,TRUE,FALSE,
79,1,1,TRUE,FALSE,
78,1,1,TRUE,FALSE,
77,1,1,TRUE,FALSE,
76,1,1,TRUE,FALSE,
75,1,1,TRUE,FALSE,
74,1,1,TRUE,FALSE,
73,1,1,TRUE,FALSE,
72,1,1,TRUE,FALSE,
71,1,1,TRUE,FALSE,
42,6,6,TRUE,FALSE,
39,G07,,FALSE,FALSE,
38,1,1,TRUE,FALSE,
35,1,1,TRUE,FALSE,
88,1,1,TRUE,FALSE,
138,1,1,TRUE,FALSE,
89,1,1,TRUE,FALSE,
91,1,1,TRUE,FALSE,
136,1,1,TRUE,FALSE,
135,1,1,TRUE,FALSE,
134,1,1,TRUE,FALSE,
133,1,1,TRUE,FALSE,
131,1,1,TRUE,FALSE,
121,1,1,TRUE,FALSE,
120,1,1,TRUE,FALSE,
119,1,1,TRUE,FALSE,
118,4,4,TRUE,FALSE,
117,1,1,TRUE,FALSE,
113,G07,,FALSE,FALSE,
112,1,1,TRUE,FALSE,
111,1,1,TRUE,FALSE,
110,1,1,TRUE,FALSE,
109,1,1,TRUE,FALSE,
108,1,1,TRUE,FALSE,
107,1,1,TRUE,FALSE,
106,1,1,TRUE,FALSE,
105,1,1,TRUE,FALSE,
93,4,4,TRUE,FALSE,
92,1,1,TRUE,FALSE,
90,1,1,TRUE,FALSE,
16,,08g,FALSE,FALSE,
18,,09a,FALSE,FALSE,
20,,09a,FALSE,FALSE,
136,9,9,TRUE,FALSE,
135,,09a,FALSE,FALSE,
134,,09a,FALSE,FALSE,
131,,12f,FALSE,FALSE,
129,,09a,FALSE,FALSE,
128,,09a,FALSE,FALSE,
125,,09a,FALSE,FALSE,
122,,11p,FALSE,FALSE,
121,,12f,FALSE,FALSE,
119,,12f,FALSE,FALSE,
118,31,31,TRUE,FALSE,
117,,31,FALSE,FALSE,
116,,12e,FALSE,FALSE,
114,,08h,FALSE,FALSE,
113,,17k,FALSE,FALSE,
112,,11p,FALSE,FALSE,
111,,11hDA,FALSE,FALSE,
109,,09a,FALSE,FALSE,
107,,11p,FALSE,FALSE,
106,,11gDA,FALSE,FALSE,
102,,17a,FALSE,FALSE,
139,,6,FALSE,FALSE,
101,,12f,FALSE,FALSE,
140,,17b,FALSE,FALSE,
142,22,22,TRUE,FALSE,
180,,09a,FALSE,FALSE,
179,,09a,FALSE,FALSE,
176,,11f,FALSE,FALSE,
175,,,TRUE,FALSE,
174,,11DA,FALSE,FALSE,
173,,08g,FALSE,FALSE,
172,,08m,FALSE,FALSE,
171,,09a,FALSE,FALSE,
169,,09a,FALSE,FALSE,
168,31,31,TRUE,FALSE,
167,,11d,FALSE,FALSE,
166,,22,FALSE,FALSE,
164,22,22,TRUE,FALSE,
163,,31,FALSE,FALSE,
162,,12*,FALSE,FALSE,
161,,12*,FALSE,FALSE,
160,,11eDA,FALSE,FALSE,
159,,09a,FALSE,FALSE,
150,,09a,FALSE,FALSE,
149,,09a,FALSE,FALSE,
147,,09a,FALSE,FALSE,
141,,08g,FALSE,FALSE,
99,,17b,FALSE,FALSE,
98,6,6,TRUE,FALSE,
97,,09a,FALSE,FALSE,
50,12,12,TRUE,FALSE,
47,,12c,FALSE,FALSE,
42,,12b,FALSE,FALSE,
41,,12b,FALSE,FALSE,
39,,22,FALSE,FALSE,
38,,17b,FALSE,FALSE,
37,,6,FALSE,FALSE,
36,,09a,FALSE,FALSE,
35,,09a,FALSE,FALSE,
33,,09a,FALSE,FALSE,
31,,09a,FALSE,FALSE,
30,,09a,FALSE,FALSE,
29,,09a,FALSE,FALSE,
28,,09a,FALSE,FALSE,
27,,09a,FALSE,FALSE,
26,,09a,FALSE,FALSE,
25,,11fDA,FALSE,FALSE,
24,,08jDA,FALSE,FALSE,
23,,24b,FALSE,FALSE,
22,,09a,FALSE,FALSE,
21,,09a,FALSE,FALSE,
51,,42,FALSE,FALSE,
52,,17b,FALSE,FALSE,
53,7,7,TRUE,FALSE,
54,,09a,FALSE,FALSE,
93,,09a,FALSE,FALSE,
91,22,22,TRUE,FALSE,
89,,09a,FALSE,FALSE,
88,,09a,FALSE,FALSE,
84,,21gDA,FALSE,FALSE,
83,,11j,FALSE,FALSE,
81,,12c,FALSE,FALSE,
80,,09a,FALSE,FALSE,
78,,17,FALSE,FALSE,
73,,08g,FALSE,FALSE,
4,,06b,FALSE,FALSE,
71,,09a,FALSE,FALSE,
69,31,31,TRUE,FALSE,
68,,22,FALSE,FALSE,
67,,11d,FALSE,FALSE,
66,22,22,TRUE,FALSE,
65,,12e,FALSE,FALSE,
64,31,31,TRUE,FALSE,
60,,33c,FALSE,FALSE,
59,,17b,FALSE,FALSE,
58,,12c,FALSE,FALSE,
56,,21gDA,FALSE,FALSE,
70,,09a,FALSE,FALSE,
34,1,1,TRUE,FALSE,
5,,5,FALSE,FALSE,
9,,05a,FALSE,FALSE,
120,1,1,TRUE,FALSE,
119,1,1,TRUE,FALSE,
118,1,1,TRUE,FALSE,
117,1,1,TRUE,FALSE,
116,1,1,TRUE,FALSE,
115,1,1,TRUE,FALSE,
114,1,1,TRUE,FALSE,
113,1,1,TRUE,FALSE,
112,1,1,TRUE,FALSE,
111,1,1,TRUE,FALSE,
110,1,1,TRUE,FALSE,
109,1,1,TRUE,FALSE,
108,1,1,TRUE,FALSE,
107,1,1,TRUE,FALSE,
106,1,1,TRUE,FALSE,
105,1,1,TRUE,FALSE,
104,1,1,TRUE,FALSE,
103,1,1,TRUE,FALSE,
102,1,1,TRUE,FALSE,
101,1,1,TRUE,FALSE,
100,1,1,TRUE,FALSE,
121,1,1,TRUE,FALSE,
99,1,1,TRUE,FALSE,
122,1,1,TRUE,FALSE,
124,1,1,TRUE,FALSE,
149,1,1,TRUE,FALSE,
148,1,1,TRUE,FALSE,
147,1,1,TRUE,FALSE,
146,1,1,TRUE,FALSE,
145,1,1,TRUE,FALSE,
144,1,1,TRUE,FALSE,
143,1,1,TRUE,FALSE,
142,1,1,TRUE,FALSE,
141,1,1,TRUE,FALSE,
140,2,2,TRUE,FALSE,
138,2,2,TRUE,FALSE,
137,1,1,TRUE,FALSE,
136,1,1,TRUE,FALSE,
135,2,2,TRUE,FALSE,
131,3,3,TRUE,FALSE,
130,3,3,TRUE,FALSE,
129,1,1,TRUE,FALSE,
128,1,1,TRUE,FALSE,
127,1,1,TRUE,FALSE,
126,1,1,TRUE,FALSE,
125,1,1,TRUE,FALSE,
123,1,1,TRUE,FALSE,
150,1,1,TRUE,FALSE,
98,1,1,TRUE,FALSE,
96,1,1,TRUE,FALSE,
15,4,4,TRUE,FALSE,
14,4,4,TRUE,FALSE,
13,1,1,TRUE,FALSE,
12,1,1,TRUE,FALSE,
11,1,1,TRUE,FALSE,
10,1,1,TRUE,FALSE,
9,1,1,TRUE,FALSE,
8,1,1,TRUE,FALSE,
7,1,1,TRUE,FALSE,
6,1,1,TRUE,FALSE,
5,1,1,TRUE,FALSE,
4,1,1,TRUE,FALSE,
3,1,1,TRUE,FALSE,
2,1,1,TRUE,FALSE,
1,1,1,TRUE,FALSE,
0,1,1,TRUE,FALSE,
132,42,42,TRUE,FALSE,
125,TBC,,FALSE,FALSE,
123,G07,,FALSE,FALSE,
121,42,42,TRUE,FALSE,
114,G01,,FALSE,FALSE,
22,1,1,TRUE,FALSE,
97,1,1,TRUE,FALSE,
48,1,1,TRUE,FALSE,
51,1,1,TRUE,FALSE,
95,1,1,TRUE,FALSE,
94,1,1,TRUE,FALSE,
93,1,1,TRUE,FALSE,
92,1,1,TRUE,FALSE,
91,1,1,TRUE,FALSE,
90,1,1,TRUE,FALSE,
89,1,1,TRUE,FALSE,
88,1,1,TRUE,FALSE,
87,1,1,TRUE,FALSE,
86,1,1,TRUE,FALSE,
85,1,1,TRUE,FALSE,
84,1,1,TRUE,FALSE,
83,1,1,TRUE,FALSE,
82,1,1,TRUE,FALSE,
81,1,1,TRUE,FALSE,
80,1,1,TRUE,FALSE,
77,1,1,TRUE,FALSE,
76,1,1,TRUE,FALSE,
70,4,4,TRUE,FALSE,
61,1,1,TRUE,FALSE,
56,1,1,TRUE,FALSE,
49,1,1,TRUE,FALSE,
107,G07,,FALSE,FALSE,
151,1,1,TRUE,FALSE,
155,1,1,TRUE,FALSE,
21,G07,,FALSE,FALSE,
20,G07,,FALSE,FALSE,
19,G07,,FALSE,FALSE,
18,G07,,FALSE,FALSE,
3,G07,,FALSE,FALSE,
2,G07,,FALSE,FALSE,
1,G07,,FALSE,FALSE,
224,1,1,TRUE,FALSE,
223,1,1,TRUE,FALSE,
222,1,1,TRUE,FALSE,
221,1,1,TRUE,FALSE,
220,1,1,TRUE,FALSE,
219,1,1,TRUE,FALSE,
218,1,1,TRUE,FALSE,
217,1,1,TRUE,FALSE,
216,1,1,TRUE,FALSE,
215,1,1,TRUE,FALSE,
214,1,1,TRUE,FALSE,
213,1,1,TRUE,FALSE,
212,1,1,TRUE,FALSE,
211,1,1,TRUE,FALSE,
22,G07,,FALSE,FALSE,
210,1,1,TRUE,FALSE,
23,G07,,FALSE,FALSE,
25,G07,,FALSE,FALSE,
70,3,3,TRUE,FALSE,
69,3,3,TRUE,FALSE,
68,G07,,FALSE,FALSE,
66,G07,,FALSE,FALSE,
65,G07,,FALSE,FALSE,
64,G07,,FALSE,FALSE,
62,G07,,FALSE,FALSE,
49,4,4,TRUE,FALSE,
47,G07,,FALSE,FALSE,
46,G07,,FALSE,FALSE,
45,G07,,FALSE,FALSE,
36,G07,,FALSE,FALSE,
35,G07,,FALSE,FALSE,
34,G07,,FALSE,FALSE,
32,G07,,FALSE,FALSE,
31,G07,,FALSE,FALSE,
30,G07,,FALSE,FALSE,
29,G07,,FALSE,FALSE,
28,G07,,FALSE,FALSE,
27,G07,,FALSE,FALSE,
26,G07,,FALSE,FALSE,
24,G07,,FALSE,FALSE,
152,2,2,TRUE,FALSE,
209,1,1,TRUE,FALSE,
207,1,1,TRUE,FALSE,
181,1,1,TRUE,FALSE,
180,1,1,TRUE,FALSE,
179,1,1,TRUE,FALSE,
178,1,1,TRUE,FALSE,
177,1,1,TRUE,FALSE,
176,1,1,TRUE,FALSE,
175,1,1,TRUE,FALSE,
174,1,1,TRUE,FALSE,
173,1,1,TRUE,FALSE,
172,1,1,TRUE,FALSE,
171,1,1,TRUE,FALSE,
170,1,1,TRUE,FALSE,
169,1,1,TRUE,FALSE,
168,1,1,TRUE,FALSE,
167,1,1,TRUE,FALSE,
166,1,1,TRUE,FALSE,
165,1,1,TRUE,FALSE,
163,1,1,TRUE,FALSE,
159,2,2,TRUE,FALSE,
158,1,1,TRUE,FALSE,
156,2,2,TRUE,FALSE,
182,1,1,TRUE,FALSE,
208,1,1,TRUE,FALSE,
183,1,1,TRUE,FALSE,
185,1,1,TRUE,FALSE,
206,1,1,TRUE,FALSE,
205,1,1,TRUE,FALSE,
204,1,1,TRUE,FALSE,
203,1,1,TRUE,FALSE,
202,1,1,TRUE,FALSE,
201,1,1,TRUE,FALSE,
200,1,1,TRUE,FALSE,
199,1,1,TRUE,FALSE,
198,1,1,TRUE,FALSE,
197,1,1,TRUE,FALSE,
196,1,1,TRUE,FALSE,
195,1,1,TRUE,FALSE,
194,1,1,TRUE,FALSE,
193,1,1,TRUE,FALSE,
192,1,1,TRUE,FALSE,
191,1,1,TRUE,FALSE,
190,1,1,TRUE,FALSE,
189,1,1,TRUE,FALSE,
188,1,1,TRUE,FALSE,
187,1,1,TRUE,FALSE,
186,1,1,TRUE,FALSE,
184,1,1,TRUE,FALSE,
36,4,4,TRUE,FALSE,
35,4,4,TRUE,FALSE,
225,1,1,TRUE,FALSE,
33,1,1,TRUE,FALSE,
32,1,1,TRUE,FALSE,
31,1,1,TRUE,FALSE,
30,1,1,TRUE,FALSE,
29,1,1,TRUE,FALSE,
28,1,1,TRUE,FALSE,
27,1,1,TRUE,FALSE,
26,1,1,TRUE,FALSE,
25,1,1,TRUE,FALSE,
24,1,1,TRUE,FALSE,
23,1,1,TRUE,FALSE,
22,1,1,TRUE,FALSE,
21,1,1,TRUE,FALSE,
20,1,1,TRUE,FALSE,
19,1,1,TRUE,FALSE,
18,1,1,TRUE,FALSE,
17,1,1,TRUE,FALSE,
16,1,1,TRUE,FALSE,
15,1,1,TRUE,FALSE,
14,1,1,TRUE,FALSE,
13,1,1,TRUE,FALSE,
34,1,1,TRUE,FALSE,
12,1,1,TRUE,FALSE,
35,1,1,TRUE,FALSE,
37,1,1,TRUE,FALSE,
58,4,4,TRUE,FALSE,
57,4,4,TRUE,FALSE,
56,1,1,TRUE,FALSE,
55,1,1,TRUE,FALSE,
54,1,1,TRUE,FALSE,
53,1,1,TRUE,FALSE,
52,1,1,TRUE,FALSE,
51,1,1,TRUE,FALSE,
50,1,1,TRUE,FALSE,
49,1,1,TRUE,FALSE,
48,1,1,TRUE,FALSE,
47,1,1,TRUE,FALSE,
46,1,1,TRUE,FALSE,
45,1,1,TRUE,FALSE,
44,1,1,TRUE,FALSE,
43,1,1,TRUE,FALSE,
42,1,1,TRUE,FALSE,
41,1,1,TRUE,FALSE,
40,1,1,TRUE,FALSE,
39,1,1,TRUE,FALSE,
38,1,1,TRUE,FALSE,
36,1,1,TRUE,FALSE,
65,1,1,TRUE,FALSE,
11,1,1,TRUE,FALSE,
9,1,1,TRUE,FALSE,
10,,,TRUE,FALSE,
9,,,TRUE,FALSE,
8,,,TRUE,FALSE,
7,,,TRUE,FALSE,
6,TBC,,FALSE,FALSE,
5,,,TRUE,FALSE,
4,TBC,,FALSE,FALSE,
3,,,TRUE,FALSE,
2,,,TRUE,FALSE,
1,TBC,,FALSE,FALSE,
0,TBC,,FALSE,FALSE,
14,,03b,FALSE,FALSE,
12,,03b,FALSE,FALSE,
11,,03b,FALSE,FALSE,
9,,03b,FALSE,FALSE,
5,,03b,FALSE,FALSE,
2,,03b,FALSE,FALSE,
16,6,6,TRUE,FALSE,
14,,03b,FALSE,FALSE,
13,,03b,FALSE,FALSE,
12,,03b,FALSE,FALSE,
33,44,44,TRUE,FALSE,
10,1,1,TRUE,FALSE,
42,44,44,TRUE,FALSE,
53,33,33,TRUE,FALSE,
8,1,1,TRUE,FALSE,
7,1,1,TRUE,FALSE,
6,1,1,TRUE,FALSE,
5,1,1,TRUE,FALSE,
4,1,1,TRUE,FALSE,
3,1,1,TRUE,FALSE,
2,1,1,TRUE,FALSE,
1,1,1,TRUE,FALSE,
0,1,1,TRUE,FALSE,
21,,,TRUE,FALSE,
45,3,3,TRUE,FALSE,
40,1,1,TRUE,FALSE,
27,1,1,TRUE,FALSE,
26,1,1,TRUE,FALSE,
25,1,1,TRUE,FALSE,
24,1,1,TRUE,FALSE,
5,16,16,TRUE,FALSE,
3,1,1,TRUE,FALSE,
2,1,1,TRUE,FALSE,
121,22,22,TRUE,FALSE,
90,22,22,TRUE,FALSE,
52,33,33,TRUE,FALSE,
89,1,1,TRUE,FALSE,
95,1,1,TRUE,FALSE,
96,1,1,TRUE,FALSE,
199,1,1,TRUE,FALSE,
198,1,1,TRUE,FALSE,
197,1,1,TRUE,FALSE,
196,1,1,TRUE,FALSE,
195,1,1,TRUE,FALSE,
194,1,1,TRUE,FALSE,
193,1,1,TRUE,FALSE,
192,1,1,TRUE,FALSE,
191,1,1,TRUE,FALSE,
190,1,1,TRUE,FALSE,
189,1,1,TRUE,FALSE,
188,1,1,TRUE,FALSE,
187,1,1,TRUE,FALSE,
186,1,1,TRUE,FALSE,
185,1,1,TRUE,FALSE,
184,1,1,TRUE,FALSE,
183,1,1,TRUE,FALSE,
182,1,1,TRUE,FALSE,
181,1,1,TRUE,FALSE,
180,1,1,TRUE,FALSE,
179,1,1,TRUE,FALSE,
200,1,1,TRUE,FALSE,
178,1,1,TRUE,FALSE,
201,1,1,TRUE,FALSE,
203,1,1,TRUE,FALSE,
224,1,1,TRUE,FALSE,
223,1,1,TRUE,FALSE,
222,1,1,TRUE,FALSE,
221,1,1,TRUE,FALSE,
220,1,1,TRUE,FALSE,
219,1,1,TRUE,FALSE,
218,1,1,TRUE,FALSE,
217,1,1,TRUE,FALSE,
216,1,1,TRUE,FALSE,
215,1,1,TRUE,FALSE,
214,1,1,TRUE,FALSE,
213,1,1,TRUE,FALSE,
212,1,1,TRUE,FALSE,
211,1,1,TRUE,FALSE,
210,1,1,TRUE,FALSE,
209,1,1,TRUE,FALSE,
208,1,1,TRUE,FALSE,
207,1,1,TRUE,FALSE,
206,1,1,TRUE,FALSE,
205,1,1,TRUE,FALSE,
204,1,1,TRUE,FALSE,
202,1,1,TRUE,FALSE,
177,1,1,TRUE,FALSE,
176,1,1,TRUE,FALSE,
175,1,1,TRUE,FALSE,
141,1,1,TRUE,FALSE,
140,1,1,TRUE,FALSE,
139,1,1,TRUE,FALSE,
138,1,1,TRUE,FALSE,
137,1,1,TRUE,FALSE,
136,1,1,TRUE,FALSE,
135,1,1,TRUE,FALSE,
132,3,3,TRUE,FALSE,
131,3,3,TRUE,FALSE,
130,1,1,TRUE,FALSE,
128,2,2,TRUE,FALSE,
124,4,4,TRUE,FALSE,
122,1,1,TRUE,FALSE,
114,1,1,TRUE,FALSE,
109,1,1,TRUE,FALSE,
103,1,1,TRUE,FALSE,
102,1,1,TRUE,FALSE,
101,1,1,TRUE,FALSE,
100,1,1,TRUE,FALSE,
99,1,1,TRUE,FALSE,
98,1,1,TRUE,FALSE,
142,1,1,TRUE,FALSE,
143,1,1,TRUE,FALSE,
144,1,1,TRUE,FALSE,
145,2,2,TRUE,FALSE,
174,1,1,TRUE,FALSE,
173,1,1,TRUE,FALSE,
172,1,1,TRUE,FALSE,
171,1,1,TRUE,FALSE,
170,1,1,TRUE,FALSE,
169,1,1,TRUE,FALSE,
168,1,1,TRUE,FALSE,
167,1,1,TRUE,FALSE,
166,1,1,TRUE,FALSE,
165,1,1,TRUE,FALSE,
8,5,5,TRUE,FALSE,
160,2,2,TRUE,FALSE,
157,2,2,TRUE,FALSE,
156,1,1,TRUE,FALSE,
154,2,2,TRUE,FALSE,
153,1,1,TRUE,FALSE,
151,1,1,TRUE,FALSE,
150,1,1,TRUE,FALSE,
149,1,1,TRUE,FALSE,
148,1,1,TRUE,FALSE,
147,1,1,TRUE,FALSE,
146,2,2,TRUE,FALSE,
159,1,1,TRUE,FALSE,
33,1,1,TRUE,FALSE,
291,,31,FALSE,FALSE,
31,G07,,FALSE,FALSE,
23,G04,,FALSE,FALSE,
22,,,TRUE,FALSE,
21,G04,,FALSE,FALSE,
20,G04,,FALSE,FALSE,
19,,,TRUE,FALSE,
18,,,TRUE,FALSE,
17,G04,,FALSE,FALSE,
16,G04,,FALSE,FALSE,
15,,,TRUE,FALSE,
14,,,TRUE,FALSE,
13,G04,,FALSE,FALSE,
12,G04,,FALSE,FALSE,
11,,,TRUE,FALSE,
10,G02,,FALSE,FALSE,
7,,3,FALSE,FALSE,
24,G04,,FALSE,FALSE,
